time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1694	1.34349	5.18237	0.226713	0.197606	radar	1372.8	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3934	1.42493	5.14661	0.248817	0.213151	lidar	4038.3	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6232	1.5082	5.01656	0.272221	0.231716	radar	1437.51	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8464	1.53982	4.97876	0.267817	0.212338	lidar	4419.33	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1134	1.59161	5.05311	0.267868	0.197913	radar	1590.09	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3934	1.63914	5.09923	0.264804	0.181386	lidar	5157.49	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6237	1.69564	5.03833	0.270803	0.178508	radar	1576.86	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8526	1.76049	5.01792	0.279359	0.178197	lidar	5342.73	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.11	1.85161	5.11235	0.294892	0.184757	radar	1804.41	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3531	1.88061	5.09075	0.282567	0.158162	lidar	5840.93	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6102	1.94273	5.16063	0.283141	0.147573	radar	1885.79	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8106	2.07712	5.12217	0.324268	0.189436	lidar	6152.86	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0793	2.18738	5.25116	0.341071	0.195591	radar	2139.21	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2836	2.32855	5.21774	0.379954	0.231617	lidar	6671.75	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4602	2.47273	5.04539	0.425384	0.278886	radar	1988.11	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7106	2.58856	5.0817	0.441071	0.2808	lidar	7472.78	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
